text,favourite_count,retweet_count,created_at
Happy Nollaig na mBan        Dr Monica Gorman explains the concept of  invisibility  in Irish farming    Speaking on this panel is Clare O Keefe of Succession Ireland  Dr Monica Gorman  monicamgorman of  ucdagfood and Alice Doyle of  IFAmedia  Watch now  https   t co KgnGb2xDUh https   t co J2kQk8SkZT,0,0,2023-01-06 15:09:47+00:00
Ireland needs  young  well trained  farmers warns EU   https   t co JUYYSvwbwm https   t co 2ge76i3CJG,0,0,2023-01-06 15:01:59+00:00
 PogoSkyBlues42  CJCHowarth  JamieBrysonCPNI And the DUP are STILL trying to get their hard border in Ireland    they wont of course but still   Btw you shouldnt ignore the wishes of the business  amp  farming industries    they want the protocol  albeit with improvements   but they can and will be made  Its saving NI Farming ,0,0,2023-01-06 14:04:27+00:00
The annual Oxford Farming Conference took place from 4   6 January  We are proud to have our  BSc  Hons  Agriculture student Wonga Matubatuba who is part of the OFC Breaking Barriers Scholarship scheme  run in partnership with McDonald s UK and Ireland   https   t co vs8V2cuEHS https   t co t9X29E8UWt,0,0,2023-01-06 14:03:16+00:00
A recent survey of 1500 Irish adults showed that 92  include dairy products in their daily diet  with 66  believing that their meals would be less enjoyable without them   https   t co fIhcgosltA,0,0,2023-01-06 13:47:00+00:00
 Small local abattoirs are dying out in Ireland and we need to reverse this trend as they are critical in sustainable food production    https   t co a5Vb5GOzTy,0,0,2023-01-06 13:24:00+00:00
VFI  Rural pubs face closure over energy support scheme exclusion  govt continues to exclude rurals from everything towns get  they must support what we have so there is a small social hub in villages  Rurals sick of exclusion from inclusive Ireland   https   t co lTh8ZU8hDc,0,0,2023-01-06 12:37:12+00:00
Wouldn t it be wonderful if farming events in Ireland would have a charity like  NativeWoodTrust present so farmers could learn more about planting native woodland  I was pleasantly surprised to see  WoodlandTrust at  oxfordfarming  OFC23 https   t co toFu4SlpDF,2,1,2023-01-06 12:00:00+00:00
 Dr_A_Kelly  voxdotcom That makes disheartening reading  But even in Ireland  many vets from a farming background have little animal empathy  many working for the Dept are supposed to uphold animal welfare standards that they don t believe in  hence perpetrators getting off  We need more  petethevet s,0,0,2023-01-06 11:13:42+00:00
The HSA have released their figures relating to work related fatalities in 2022  They have confirmed that there were 26 work related fatalities last year  Andrew Sanderson FCILT and Neil Cahill consider the report  https   t co DZqbGIxkNF  healthandsafety  construction  farming,0,0,2023-01-06 10:09:50+00:00
Could  Ireland introduce an efficient  amp  environmentally sustainable food production system    teagasc  TeagascEnviron  IFAmedia  GeorgeMonbiot  Farming_Indo  farmersjournal  agriculture_ie  McConalogue,2,0,2023-01-06 03:51:52+00:00
https   t co 6QSXalj31n,0,0,2023-01-06 02:03:24+00:00
 martinheydonfg  McConalogue  farmersjournal  AgrilandIreland  Farming_Indo  IEFarming  FineGael  agriculture_ie Our industry has spent years building up our reputation for quality food  Why would we now cut production and lose our market place  The Irish freedom Party are the party for rural Ireland   No other party has the knowledge or expertise to handle our country s agricultural needs ,1,0,2023-01-05 21:10:17+00:00
What we need is a revolution  Reclaim our land for sustainable farming and for nature to reclaim her rightful place   Ireland  AgricultureLobby  Rewilding  Cows With Guns   YouTube https   t co jLMHY5mPbz,4,0,2023-01-05 20:53:58+00:00
 Theurgia_Goetia In 1946 there were no artificial fertilisers or pesticides  amp  farming was at subsistence level for many in the West of Ireland  A lot has changed  but Connemara National Park still retains the old beauty  https   t co 6PwzLp9MKs https   t co onAzuVaKvI,5,0,2023-01-05 20:28:04+00:00
 Prospects for growth are strong  with Ireland  well positioned to       Irish Examiner https   t co oInvLXxuaD,0,0,2023-01-05 17:07:04+00:00
 martinheydonfg  McConalogue  farmersjournal  AgrilandIreland  Farming_Indo  IEFarming  FineGael  agriculture_ie Ireland is going to break any commitment to reducing the heard destroying Irish kids futures with 1 of the worst  affects on climate change  amp  the collapse of nature   Beef  Oh and dont forget to celebrate increasing sheep nos for the US killing any chance of rewilding our uplands,1,0,2023-01-05 16:10:19+00:00
 Latest market data from the market research group Neilsen suggests the plant based milk sector has recorded double digit growth year on year   We happen to grow Oats very well in Ireland too  The Climate Action Plan wants to expand tillage    https   t co 1HSNoCGdOf,0,0,2023-01-05 16:03:26+00:00
 martinheydonfg  McConalogue  farmersjournal  AgrilandIreland  Farming_Indo  IEFarming  FineGael  agriculture_ie Time will tell how  positive  this is and what price Ireland is really paying for doing business with the authoritarian CCP   Already it seems that the Irish Government is adhering to an overly strict version of the  One China Policy  https   t co DYk0xjqz1h,0,0,2023-01-05 14:58:35+00:00
 Prospects for growth are strong  with Ireland  well positioned to rebuild beef trade  with China https   t co c8WI7VlgVN,0,1,2023-01-05 14:22:03+00:00
 martinheydonfg  McConalogue  farmersjournal  AgrilandIreland  Farming_Indo  IEFarming  FineGael  agriculture_ie Explain to me how this will benefit Ireland  when we are going to end up paying fines for missed emissions targets ,5,0,2023-01-05 14:15:13+00:00
Nearly 700 forestry road licences issued in Ireland   https   t co JUYYSvwbwm https   t co P9MfXdEBUn,1,0,2023-01-05 13:37:30+00:00
South of Ireland Bluefaced Leicester club sale tops  660 https   t co ev92VrQ8PZ,0,0,2023-01-05 10:47:20+00:00
In our first podcast for 2023  Ken Rundle talks to  NatalieWoodYara  about recent trial results and what we can learn from the data collected    Listen here   https   t co Z6SQR4d09h   GrowTheFuture  KnowledgeGrows  Nutrition  Crops  Fertiliser  Farming  Agronomy  Arable  Podcast https   t co ZhuC0NZMme,1,1,2023-01-05 10:01:53+00:00
Plans to build 130 new plants in 8 years     According to the biomethane industry  Ireland has the potential to be a major  biomethane producer      Thus  the Irish government has increased the production target to be achieved by 2030  https   t co 60Yfw5Kxxy  ,6,4,2023-01-05 10:00:30+00:00
Nearly 700 forestry road licences issued in Ireland  https   t co aAPdG8l3ZW,0,0,2023-01-05 08:57:03+00:00
21 acre holding at foot of MacGillycuddy s Reeks for public auction  Huge interest in holding in one of the most mythical and scenic locations in Ireland  https   t co f0vrM58S2a,0,0,2023-01-05 08:46:03+00:00
Nearly 700 forestry road licences issued in Ireland   https   t co JUYYSvwbwm https   t co VhSQQ2NNaZ,2,0,2023-01-05 08:37:15+00:00
The Irish  CitizAssembly on Biodiversity Loss will continue to discuss its recommendations over the next weeks to advise the government on how Ireland will tackle the crisis going forward  https   t co tQW0O5v2dH  CABioLoss,2,0,2023-01-05 08:10:06+00:00
South of Ireland Bluefaced Leicester club sale tops  660 https   t co KagwFxZygW,0,0,2023-01-05 06:42:19+00:00
Climate Action Plan presents considerable challenges   Dairy Industry Ireland   https   t co e0ZIxJ4NSY https   t co F9fVL4FgqN,2,0,2023-01-05 03:05:42+00:00
 an_ieva These are in west of Ireland where some hedgerows seem to getting wider with less farming  grazing  https   t co m25S04bU8e,2,0,2023-01-05 01:27:59+00:00
For 20 years I warned everyone in  Ireland  that their political weakness would enable the EU Technocracy to construct conflict in the once heterogeneous nation   NI protocol  amp  migrant plantation  amp  erosion of farming is only the start    The British Isles are falling  https   t co VQ1eF3n7ix https   t co cZUuVEYpRl,2,0,2023-01-05 00:23:56+00:00
 BrianDBourke Also stood by it in Ireland according to this article  Monsanto boy  https   t co cxoevfnxkU,1,0,2023-01-04 23:30:07+00:00
 pippa_hackett  OFRC  ireland_farming  farmfornature  howemill  TeagascOrganics The most  welfare  thing we can do for animals is to stop  farming  them    I think there s a place for livestock to provide ecosystem services in limited numbers but the breed  feed  kill model of animal exploitation belongs in the past ,0,0,2023-01-04 23:14:38+00:00
 NiDhuibhir23  sophiegrenham Puppy farming levels in Ireland are gross  Rescue centres say the majority of dogs in Ireland are from puppy mills  People don t realise it    climbs off bandwagon   sophiegrenham I have both    amp     Both lovely company  but the cat s bird count means she s my last  17 yrs old ,2,0,2023-01-04 22:52:32+00:00
Nothing on the environment Nothing on fixing the criminal justice system Nothing on corruption Nothing on housing Nothing on farming  food and agriculture  Nothing on Northern Ireland Nothing on the economy,1,0,2023-01-04 21:28:02+00:00
New herd health appointment for Northern Ireland   At AHV we are committed to working with dairy farmers    AD  AHVUK_IE  Farming  DairyFarms  HerdHealth  NorthernIreland  https   t co AqB79Ha6wb,0,0,2023-01-04 19:53:02+00:00
 lisaocarroll Farming is the biggest private sector employer in Northern Ireland  Rolling back CAP and making it harder for NI farmers to compete for income in the GB market is going to put pressure on the union between NI and GB    Willing to bet Dyson didn t know that or care  https   t co DxJRs9FMQR,5,1,2023-01-04 19:42:35+00:00
 pippa_hackett  OFRC  ireland_farming  farmfornature  howemill  TeagascOrganics We need strategies to promote farmers markets in Ireland  where there are actual farmers  Not people selling CBD oil and trinkets ,0,0,2023-01-04 19:36:09+00:00
Why Ireland has escaped the impact of bird flu   for now https   t co PkTinjLnNN,2,3,2023-01-04 18:26:02+00:00
Farmer and agri environmental consultant who previously served as president of Macra Na Feirme  the Irish youth farming association  and is currently vice president of the European Council of Young Farmers  proposes changes for a sustainable rural Ireland https   t co rejr0Qc2iW,0,0,2023-01-04 18:15:17+00:00
Each week we look at the farming news making the headlines  This week the Irish Examiner  reported that Ireland is  Well on the way to hitting its target for organic farming   For all your Farm Insurance needs visit  https   t co Rs3cV7ioUs   farm  farminsurance  irishfarming https   t co wkpWlugtCt,0,0,2023-01-04 13:55:12+00:00
Calling all farmers      Are you interested in hearing how technology could help your farm     QUBIGFS are running an event on the benefits of technology adoption on farms in NI        Thurs 12th Jan   Glenavon  Cookstown   11 13 30  More info   https   t co kXIg67ke0U https   t co mYsP1KXAOQ,3,3,2023-01-04 12:21:33+00:00
We have a good supply of dairy stock available at the moment  For more info give Alan a call   353  87  116 6045   dairy  cows  farming   westmeath  ukfarming  ireland https   t co ZOMqnlBoBS,2,0,2023-01-04 12:13:35+00:00
 LloydEv28308027  kernowbeaver  EdRoberts9 Not here in Ireland  Thats a whole different area of industrial farming that thankfully there is no appetite for here ,0,0,2023-01-04 10:34:20+00:00
His tragic young death on the farm comes just months after his close neighbour was killed in a similar farming accident  R I P https   t co b6NGeGuGO0,2,0,2023-01-04 07:53:30+00:00
Cycling through some of Ireland s most stunning scenery  Neven explores established Greenways such as The Great Western Greenway in Mayo  The Limerick  Waterford and Royal Canal Greenways https   t co COqNUyJw2X,0,0,2023-01-03 20:25:10+00:00
 Bristol_Bond  Veganella_  LemmyMcGregor Great famines have occurred in arable farming  potato famine in Ireland 1700 65 a vegan world would be sparse ,1,0,2023-01-03 20:04:58+00:00
New AHV appointment for Northern Ireland   A proactive approach is needed now   not a reactive one  Farmers want healthier cows that are more efficient    AD  AHVUK_IE  Farming  DairyFarms  HerdHealth  NorthernIreland  https   t co nsA9kcQYLn,0,0,2023-01-03 19:52:03+00:00
Conacre makes up almost half of all leased land in Ireland  analysis shows https   t co ccELgdvTME,0,0,2023-01-03 19:00:36+00:00
 HursonNiall  lidl_ireland  Farming_Indo I like to see the pheasants rambling around the countryside this time of year  I don t support the shooting of them  But as you say they are nearly all hand reared at this stage  and it s very unusual to see one now actually take flight ,1,0,2023-01-03 17:30:13+00:00
By tracking the effects of  climate change on our environment  we can ensure a safe future for farming in Ireland    The first seasonal event we are looking for records of is the first occurrence is frog spawn and of flowering primrose                https   t co NCERovryVD https   t co A7T9lw3LPt,5,1,2023-01-03 17:04:03+00:00
Rivers and streams in Ireland with high water quality declined from 27  between 1987 1990 to 17  in 2017 2020  The primary problem is pollution from farming   PollutersPay https   t co Kc0qTUwvhG,0,0,2023-01-03 15:45:10+00:00
Read more  https   t co 5VM2L9BPSO,0,0,2023-01-03 15:23:46+00:00
With the pheasant hunting season in full flow across Ireland and the UK  it s worth highlighting the environmental impact of putting these birds on  lidl_ireland shelves         Farming_Indo https   t co 2gCOMqktak,5,3,2023-01-03 15:23:41+00:00
The staggering rise of Ireland s premium beef brands https   t co uFdd4B5c0G,1,0,2023-01-03 15:00:47+00:00
His tragic young death on the farm comes just months after his close neighbour was killed in a similar farming accident  R I P https   t co b6NGeGuGO0,0,0,2023-01-03 14:53:00+00:00
Conacre makes up almost half of all leased land in Ireland  analysis shows https   t co Ercfw451ca,0,1,2023-01-03 14:34:00+00:00
Heartbreaking  R I P young man https   t co si5ns6vWEm,0,0,2023-01-03 14:28:30+00:00
A lot tougher for  pigs in  factoryfarms tails cut off  teeth clipped  never see daylight or outdoors  amp  gassed at 6 months old   all while Ireland imports millions of tonnes of grain to feed them    Toughest year in a generation for Irish pig producers https   t co jB4E1UVYyo,49,16,2023-01-03 14:24:16+00:00
Archaeologists from the National Museum of Ireland confirm slab lined grave discovered by a  Sligo farmer dates back to the early medieval era   AgrilandIreland   https   t co Ovgpg8prvw,46,5,2023-01-03 13:49:35+00:00
https   t co 5Wi5yjYxoX,0,0,2023-01-03 11:11:04+00:00
 As the letting market takes off  today s Farming Independent details the percentage of farmland leased in each county   Our analysis also reveals that conacre  11 month leasing  makes up almost half of all leased land in Ireland    Farming_Indo https   t co de55NW5nc3,5,1,2023-01-03 11:11:04+00:00
BREAKING  Heartbreaking  R I P young man https   t co si5ns6vWEm,0,0,2023-01-03 10:08:01+00:00
By around 1860  Britain had emerged as the world leader in deforestation  devastation its own woods and the forests in Ireland  South Africa and northeastern United States to draw timber for shipbuilding  iron smelting and farming    ClimateEmergency   ClimateScam  ClimateAction,4,2,2023-01-03 05:18:52+00:00
 douglas_jan Lakeland are doing the same  You need to understand what ESG score means for farming in Ireland ,0,0,2023-01-03 00:16:36+00:00
Maximum littering and dog fouling fines set to increase to  200 in Northern Ireland  https   t co hDBKkThjw1,3,1,2023-01-02 15:33:07+00:00
He said any proposal to reduce Ireland s national herd is not acceptable  https   t co fAvjLQuZim,3,1,2023-01-02 14:14:00+00:00
I m trying to organise a few panel discussions for this year between Traveller elders and elders from the farming and rural communities  If you know of any farmers and rural people that might be interested in a chat about old Ireland  please let me know ,80,29,2023-01-02 13:02:09+00:00
 garethicke I said I see one freaking mosque in Ireland im not coming back   duck off with that crap  They invading farming country and causing all sorts of negativity  NOT the IreLand I knew,12,1,2023-01-02 12:57:38+00:00
New AHV appointment for Northern Ireland   A proactive approach is needed now   not a reactive one  Farmers want healthier cows that are more efficient    AD  AHVUK_IE  Farming  DairyFarms  HerdHealth  NorthernIreland  https   t co 7nhqwac5iM,0,0,2023-01-02 12:37:02+00:00
